---,Name
2706,"NSLOCTEXT("""", ""ItemTable_2706_Name"", ""Aquilonian Scout Saddle"")"
2707,"NSLOCTEXT("""", ""ItemTable_2707_Name"", ""Savage Cavalry Saddle"")"
2708,"NSLOCTEXT("""", ""ItemTable_2708_Name"", ""Warhorse Saddle Light"")"
2709,"NSLOCTEXT("""", ""ItemTable_2709_Name"", ""Warhorse Saddle Medium"")"
2710,"NSLOCTEXT("""", ""ItemTable_2710_Name"", ""Warhorse Saddle Heavy"")"
2782,"NSLOCTEXT("""", ""ItemTable_2782_Name"", ""Lance"")"
2783,"NSLOCTEXT("""", ""ItemTable_2783_Name"", ""Exceptional Lance"")"
2784,"NSLOCTEXT("""", ""ItemTable_2784_Name"", ""Flawless Lance"")"
2785,"NSLOCTEXT("""", ""ItemTable_2785_Name"", ""Strong Lance"")"
2786,"NSLOCTEXT("""", ""ItemTable_2786_Name"", ""Exceptional Strong Lance"")"
2787,"NSLOCTEXT("""", ""ItemTable_2787_Name"", ""Flawless Strong Lance"")"
4150,"NSLOCTEXT("""", ""ItemTable_4150_Name"", ""Sign (Alchemist)"")"
4151,"NSLOCTEXT("""", ""ItemTable_4151_Name"", ""Sign (Blacksmith)"")"
4152,"NSLOCTEXT("""", ""ItemTable_4152_Name"", ""Sign (Armorsmith)"")"
4153,"NSLOCTEXT("""", ""ItemTable_4153_Name"", ""Sign (Smeltery)"")"
4154,"NSLOCTEXT("""", ""ItemTable_4154_Name"", ""Sign (Tannery)"")"
4155,"NSLOCTEXT("""", ""ItemTable_4155_Name"", ""Sign (Prison)"")"
4156,"NSLOCTEXT("""", ""ItemTable_4156_Name"", ""Sign (Farm)"")"
4157,"NSLOCTEXT("""", ""ItemTable_4157_Name"", ""Sign (Cook)"")"
4158,"NSLOCTEXT("""", ""ItemTable_4158_Name"", ""Sign (Tavern)"")"
4159,"NSLOCTEXT("""", ""ItemTable_4159_Name"", ""Standing Sign (Alchemist)"")"
4160,"NSLOCTEXT("""", ""ItemTable_4160_Name"", ""Standing Sign (Blacksmith)"")"
4161,"NSLOCTEXT("""", ""ItemTable_4161_Name"", ""Standing Sign (Armorsmith)"")"
4162,"NSLOCTEXT("""", ""ItemTable_4162_Name"", ""Standing Sign (Smeltery)"")"
4163,"NSLOCTEXT("""", ""ItemTable_4163_Name"", ""Standing Sign (Tannery)"")"
4164,"NSLOCTEXT("""", ""ItemTable_4164_Name"", ""Standing Sign (Prison)"")"
4165,"NSLOCTEXT("""", ""ItemTable_4165_Name"", ""Standing Sign (Farm)"")"
4166,"NSLOCTEXT("""", ""ItemTable_4166_Name"", ""Standing Sign (Cook)"")"
4167,"NSLOCTEXT("""", ""ItemTable_4167_Name"", ""Standing Sign (Tavern)"")"
4168,"NSLOCTEXT("""", ""ItemTable_4168_Name"", ""Standing Waymarker, Left"")"
4169,"NSLOCTEXT("""", ""ItemTable_4169_Name"", ""Standing Waymarker, Right"")"
4176,"NSLOCTEXT("""", ""ItemTable_4176_Name"", ""Petrified Egg"")"
4177,"NSLOCTEXT("""", ""ItemTable_4177_Name"", ""Throne of Skelos"")"
4180,"NSLOCTEXT("""", ""ItemTable_4180_Name"", ""Waymarker, Left"")"
4181,"NSLOCTEXT("""", ""ItemTable_4181_Name"", ""Waymarker, Right"")"
4189,"NSLOCTEXT("""", ""ItemTable_4189_Name"", ""The Glasser"")"
4190,"NSLOCTEXT("""", ""ItemTable_4190_Name"", ""Reinforced Stool"")"
