RowName,Name
5500,Bloodletter Sword
5501,Bloodletter Two-Handed Sword
5502,Bloodletter Poniards
5503,Bloodletter Mace
5504,Bloodletter Hammer
5505,Bloodletter Bow
5506,Bloodletter Pike
5507,Bloodletter Shield
5512,Exceptional Bloodletter Sword
5513,Exceptional Bloodletter Two-Handed Sword
5514,Exceptional Bloodletter Poniards
5515,Exceptional Bloodletter Mace
5516,Exceptional Bloodletter Hammer
5517,Exceptional Bloodletter Bow
5518,Exceptional Bloodletter Pike
5519,Exceptional Bloodletter Shield
5524,Flawless Bloodletter Sword
5525,Flawless Bloodletter Two-Handed Sword
5526,Flawless Bloodletter Poniards
5527,Flawless Bloodletter Mace
5528,Flawless Bloodletter Hammer
5529,Flawless Bloodletter Bow
5530,Flawless Bloodletter Pike
5531,Flawless Bloodletter Shield
5536,Bloodletter Sword (Epic)
5537,Bloodletter Two-Handed Sword (Epic)
5538,Bloodletter Poniards (Epic)
5539,Bloodletter Mace (Epic)
5540,Bloodletter Hammer (Epic)
5541,Bloodletter Bow (Epic)
5542,Bloodletter Pike (Epic)
5543,Bloodletter Shield (Epic)
5548,Exceptional Bloodletter Sword (Epic)
5549,Exceptional Bloodletter Two-Handed Sword (Epic)
5550,Exceptional Bloodletter Poniards (Epic)
5551,Exceptional Bloodletter Mace (Epic)
5552,Exceptional Bloodletter Hammer (Epic)
5553,Exceptional Bloodletter Bow (Epic)
5554,Exceptional Bloodletter Pike (Epic)
5555,Exceptional Bloodletter Shield (Epic)
5560,Flawless Bloodletter Sword (Epic)
5561,Flawless Bloodletter Two-Handed Sword (Epic)
5562,Flawless Bloodletter Poniards (Epic)
5563,Flawless Bloodletter Mace (Epic)
5564,Flawless Bloodletter Hammer (Epic)
5565,Flawless Bloodletter Bow (Epic)
5566,Flawless Bloodletter Pike (Epic)
5567,Flawless Bloodletter Shield (Epic)
5572,Bloodletter Short Sword
5573,Exceptional Bloodletter Short Sword
5574,Flawless Bloodletter Short Sword
5575,Bloodletter Short Sword (Epic)
5576,Exceptional Bloodletter Short Sword (Epic)
5577,Flawless Bloodletter Short Sword (Epic)
5578,Bloodletter Great Axe
5579,Exceptional Bloodletter Great Axe
5580,Flawless Bloodletter Great Axe
5581,Bloodletter Great Axe (Epic)
5582,Exceptional Bloodletter Great Axe (Epic)
5583,Flawless Bloodletter Great Axe (Epic)
5584,Bloodletter War-Axe
5585,Exceptional Bloodletter War-Axe
5586,Flawless Bloodletter War-Axe
5587,Bloodletter War-Axe (Epic)
5588,Exceptional Bloodletter War-Axe (Epic)
5589,Flawless Bloodletter War-Axe (Epic)
5590,Arena Foundation (Variant A)
5591,Arena Foundation (Variant B)
5592,Arena Wall
5593,Arena Ceiling (Variant A)
5594,Arena Ceiling (Variant B)
5595,Arena Doorframe
5596,Arena Stairs
5597,Arena Stairs Corner
5598,Arena Stairs Inverted Corner
5601,Arena Vaulted Ceiling (single)
5602,Arena Vaulted Ceiling Corner (single)
5603,Arena Vaulted Ceiling
5604,Arena Vaulted Ceiling Junction
5605,Arena Vaulted Ceiling Corner
5606,Arena Vaulted Ceiling Intersection
5607,Arena Vaulted Ceiling Inverted Corner (single)
5608,Arena Fence
5609,Arena Crenelated Wall
5610,Arena Pillar
5611,Arena Gate Frame
5612,Arena Gate Door (Variant A)
5613,Arena Door (Variant A)
5614,Arena Door (Variant B)
5615,Arena Wedge (Variant A)
5616,Arena Wedge (Variant B)
5617,Arena Wedge Foundation (Variant A)
5618,Arena Wedge Foundation (Variant B)
5619,Arena Frame
5620,Arena Gate Door (Variant B)
5630,War Banner (Variant A)
5631,War Banner (Variant B)
5632,War Banner (Variant C)
5633,War Banner (Variant D)
5634,War Banner (Variant E)
5635,War Banner (Variant F)
5636,War Banner (Variant G)
5637,War Banner (Variant H)
5638,War Banner (Variant I)
5639,War Banner (Variant J)
5640,Hanging War Banner (Variant A)
5641,Hanging War Banner (Variant B)
5642,Hanging War Banner (Variant C)
5643,Hanging War Banner (Variant D)
5644,Hanging War Banner (Variant E)
5650,Assassin Mask
5651,Assassin Chestpiece
5652,Assassin Gloves
5653,Assassin Leggings
5654,Assassin Boots
5655,Bear Shaman Headpiece
5656,Bear Shaman Chestpiece
5657,Bear Shaman Gloves
5658,Bear Shaman Tasset
5659,Bear Shaman Boots
5660,Barbarian Helmet
5661,Barbarian Chestplate
5662,Barbarian Gauntlets
5663,Barbarian Leggings
5664,Barbarian Boots
5665,Exceptional Assassin Mask
5666,Exceptional Assassin Chestpiece
5667,Exceptional Assassin Gloves
5668,Exceptional Assassin Leggings
5669,Exceptional Assassin Boots
5670,Exceptional Bear Shaman Headpiece
5671,Exceptional Bear Shaman Chestpiece
5672,Exceptional Bear Shaman Gloves
5673,Exceptional Bear Shaman Tasset
5674,Exceptional Bear Shaman Boots
5675,Exceptional Barbarian Helmet
5676,Exceptional Barbarian Chestplate
5677,Exceptional Barbarian Gauntlets
5678,Exceptional Barbarian Leggings
5679,Exceptional Barbarian Boots
5680,Flawless Assassin Mask
5681,Flawless Assassin Chestpiece
5682,Flawless Assassin Gloves
5683,Flawless Assassin Leggings
5684,Flawless Assassin Boots
5685,Flawless Bear Shaman Headpiece
5686,Flawless Bear Shaman Chestpiece
5687,Flawless Bear Shaman Gloves
5688,Flawless Bear Shaman Tasset
5689,Flawless Bear Shaman Boots
5690,Flawless Barbarian Helmet
5691,Flawless Barbarian Chestplate
5692,Flawless Barbarian Gauntlets
5693,Flawless Barbarian Leggings
5694,Flawless Barbarian Boots
5695,Assassin Mask (Epic)
5696,Assassin Chestpiece (Epic)
5697,Assassin Gloves (Epic)
5698,Assassin Leggings (Epic)
5699,Assassin Boots (Epic)
5700,Bear Shaman Headpiece (Epic)
5701,Bear Shaman Chestpiece (Epic)
5702,Bear Shaman Gloves (Epic)
5703,Bear Shaman Tasset (Epic)
5704,Bear Shaman Boots (Epic)
5705,Barbarian Helmet (Epic)
5706,Barbarian Chestplate (Epic)
5707,Barbarian Gauntlets (Epic)
5708,Barbarian Leggings (Epic)
5709,Barbarian Boots (Epic)
5710,Exceptional Assassin Mask (Epic)
5711,Exceptional Assassin Chestpiece (Epic)
5712,Exceptional Assassin Gloves (Epic)
5713,Exceptional Assassin Leggings (Epic)
5714,Exceptional Assassin Boots (Epic)
5715,Exceptional Bear Shaman Headpiece (Epic)
5716,Exceptional Bear Shaman Chestpiece (Epic)
5717,Exceptional Bear Shaman Gloves (Epic)
5718,Exceptional Bear Shaman Tasset (Epic)
5719,Exceptional Bear Shaman Boots (Epic)
5720,Exceptional Barbarian Helmet (Epic)
5721,Exceptional Barbarian Chestplate (Epic)
5722,Exceptional Barbarian Gauntlets (Epic)
5723,Exceptional Barbarian Leggings (Epic)
5724,Exceptional Barbarian Boots (Epic)
5725,Flawless Assassin Mask (Epic)
5726,Flawless Assassin Chestpiece (Epic)
5727,Flawless Assassin Gloves (Epic)
5728,Flawless Assassin Leggings (Epic)
5729,Flawless Assassin Boots (Epic)
5730,Flawless Bear Shaman Headpiece (Epic)
5731,Flawless Bear Shaman Chestpiece (Epic)
5732,Flawless Bear Shaman Gloves (Epic)
5733,Flawless Bear Shaman Tasset (Epic)
5734,Flawless Bear Shaman Boots (Epic)
5735,Flawless Barbarian Helmet (Epic)
5736,Flawless Barbarian Chestplate (Epic)
5737,Flawless Barbarian Gauntlets (Epic)
5738,Flawless Barbarian Leggings (Epic)
5739,Flawless Barbarian Boots (Epic)
5740,Twin-Bladed Short Sword
5741,Exceptional Twin-Bladed Short Sword
5742,Flawless Twin-Bladed Short Sword
5743,Curved Short Sword
5744,Exceptional Curved Short Sword
5745,Flawless Curved Short Sword
5746,Spiked Short Sword
5747,Exceptional Spiked Short Sword
5748,Flawless Spiked Short Sword
5749,Hooked Short Sword
5750,Exceptional Hooked Short Sword
5751,Flawless Hooked Short Sword
5752,Jagged Great Axe
5753,Exceptional Jagged Great Axe
5754,Flawless Jagged Great Axe
5755,Reaver's Great Axe
5756,Exceptional Reaver's Great Axe
5757,Flawless Reaver's Great Axe
5758,Barbaric Great Axe
5759,Exceptional Barbaric Great Axe
5760,Flawless Barbaric Great Axe
5761,Great Axe of the North
5762,Exceptional Great Axe of the North
5763,Flawless Great Axe of the North
5572,Bloodletter Short Sword
5573,Exceptional Bloodletter Short Sword
5574,Flawless Bloodletter Short Sword
5575,Bloodletter Short Sword (Epic)
5576,Exceptional Bloodletter Short Sword (Epic)
5577,Flawless Bloodletter Short Sword (Epic)
50495,Iron Short Sword
50496,Exceptional Iron Short Sword
50497,Flawless Iron Short Sword
50498,Star Metal Short Sword (Epic)
50499,Exceptional Star Metal Short Sword (Epic)
50500,Flawless Star Metal Short Sword (Epic)
