RowName,Name
4105,Warpaint - Passion
4106,Warpaint - Innocence
4107,Warpaint - Emptiness
4108,Warpaint - Lust
4109,Warpaint - Jealousy
4110,Bejewelled Circlet
4111,Bejewelled Chains
4112,Bejewelled Bracelets
4113,Bejewelled Loin-Cloth
4114,Bejewelled Anklets
4116,Inn-Keepers Vestments
4118,Inn-Keepers Pants
4121,Nobles Chestpiece
4122,Artisans Pants
4123,Nobles Skirt
4124,Gold Circlet
4125,Gold Earrings
4126,Gold Bracelet
4127,Gold Circlet and Earrings
4128,Gold Anklet
4129,Silver Circlet
4130,Silver Earrings
4131,Silver Bracelet
4132,Silver Circlet and Earrings
4133,Silver Anklet
4134,Tavern Counter Straight
4135,Tavern Counter Corner
4136,Tavern Counter Small
4137,Hanging Bridge (Short)
4138,Hanging Bridge
4139,Hanging Bridge (Long)
4140,Rope Bridge (Short)
4141,Rope Bridge
4142,Rope Bridge (Long)
4143,Barrel
4144,Basket
4145,Barrel Lid
4146,Luxurious Bed
4147,Curtains
4148,Curtains
4149,Curtains
4170,Stage Corner (Round)
4171,Stage Corner (Straight)
4172,Stage  Steps
4173,Tavern Counter Straight (Panels)
4174,Tavern Counter Corner (Panels)
4175,Tavern Counter Small (Panels)
4178,Stage
4179,Barrel Rack
4182,Barrel Table
4183,Curtains
4184,Curtains
4185,Bench
4186,Small Bench
4187,Stool
4240,Barrel Stool
4241,Barrel Stool
4242,Barrel Table
4243,Barrel Table
4244,Wine Basket
4245,Wine Rack
4246,Wine Shelf
4299,Treehouse Foundation
4400,King's Board
4401,King's Board
4402,Dark Priest
4403,White Priest
4404,Dark King
4405,White King
4406,Dark Cavalry
4407,White Cavalry
4408,Dark Horde
4409,White Infantry
4410,Dark Queen
4411,White Queen
4412,Dark Outsider
4413,White Outsider
4450,Dark Templar Helmet
4451,Dark Templar Chestguard
4452,Dark Templar Gauntlets
4453,Dark Templar Legplates
4454,Dark Templar Sabatons
4455,Guardian Helmet
4456,Guardian Chestguard
4457,Guardian Gauntlets
4458,Guardian Legplates
4459,Guardian Sabatons
4460,Exceptional Dark Templar Helmet
4461,Exceptional Dark Templar Chestguard
4462,Exceptional Dark Templar Gauntlets
4463,Exceptional Dark Templar Legplates
4464,Exceptional Dark Templar Sabatons
4465,Exceptional Guardian Helmet
4466,Exceptional Guardian Chestguard
4467,Exceptional Guardian Gauntlets
4468,Exceptional Guardian Legplates
4469,Exceptional Guardian Sabatons
4470,Flawless Dark Templar Helmet
4471,Flawless Dark Templar Chestguard
4472,Flawless Dark Templar Gauntlets
4473,Flawless Dark Templar Legplates
4474,Flawless Dark Templar Sabatons
4475,Flawless Guardian Helmet
4476,Flawless Guardian Chestguard
4477,Flawless Guardian Gauntlets
4478,Flawless Guardian Legplates
4479,Flawless Guardian Sabatons
4480,Dark Templar Helmet (Epic)
4481,Dark Templar Chestguard (Epic)
4482,Dark Templar Gauntlets (Epic)
4483,Dark Templar Legplates (Epic)
4484,Dark Templar Sabatons (Epic)
4485,Guardian Helmet (Epic)
4486,Guardian Chestguard (Epic)
4487,Guardian Gauntlets (Epic)
4488,Guardian Legplates (Epic)
4489,Guardian Sabatons (Epic)
4490,Exceptional Dark Templar Helmet (Epic)
4491,Exceptional Dark Templar Chestguard (Epic)
4492,Exceptional Dark Templar Gauntlets (Epic)
4493,Exceptional Dark Templar Legplates (Epic)
4494,Exceptional Dark Templar Sabatons (Epic)
4495,Exceptional Guardian Helmet (Epic)
4496,Exceptional Guardian Chestguard (Epic)
4497,Exceptional Guardian Gauntlets (Epic)
4498,Exceptional Guardian Legplates (Epic)
4499,Exceptional Guardian Sabatons (Epic)
4500,Flawless Dark Templar Helmet (Epic)
4501,Flawless Dark Templar Chestguard (Epic)
4502,Flawless Dark Templar Gauntlets (Epic)
4503,Flawless Dark Templar Legplates (Epic)
4504,Flawless Dark Templar Sabatons (Epic)
4505,Flawless Guardian Helmet (Epic)
4506,Flawless Guardian Chestguard (Epic)
4507,Flawless Guardian Gauntlets (Epic)
4508,Flawless Guardian Legplates (Epic)
4509,Flawless Guardian Sabatons (Epic)
