RowName,Name
7100,Warpaint - Sky Watch
7101,Warpaint - Aegis
7102,Warpaint - Blessed
7103,Warpaint - Bravery
7104,Warpaint - Rule
7110,Aquilonian Scout Headgear
7111,Aquilonian Scout Vest
7112,Aquilonian Scout Wraps
7113,Aquilonian Scout Pteruges
7114,Aquilonian Scout Sandals
7115,Aquilonian Infantry Helm
7116,Aquilonian Infantry Cuirass
7117,Aquilonian Infantry Bracers
7118,Aquilonian Infantry Pteruges
7119,Aquilonian Infantry Sandals
7120,Aquilonian Black Dragon Helm
7121,Aquilonian Black Dragon Cuirass
7122,Aquilonian Black Dragon Gauntlets
7123,Aquilonian Black Dragon Pteruges
7124,Aquilonian Black Dragon Sandals
7125,Exceptional Aquilonian Scout Headgear
7126,Exceptional Aquilonian Scout Vest
7127,Exceptional Aquilonian Scout Wraps
7128,Exceptional Aquilonian Scout Pteruges
7129,Exceptional Aquilonian Scout Sandals
7130,Exceptional Aquilonian Infantry Helm
7131,Exceptional Aquilonian Infantry Cuirass
7132,Exceptional Aquilonian Infantry Bracers
7133,Exceptional Aquilonian Infantry Pteruges
7134,Exceptional Aquilonian Infantry Sandals
7135,Exceptional Aquilonian Black Dragon Helm
7136,Exceptional Aquilonian Black Dragon Cuirass
7137,Exceptional Aquilonian Black Dragon Gauntlets
7138,Exceptional Aquilonian Black Dragon Pteruges
7139,Exceptional Aquilonian Black Dragon Sandals
7140,Flawless Aquilonian Scout Headgear
7141,Flawless Aquilonian Scout Vest
7142,Flawless Aquilonian Scout Wraps
7143,Flawless Aquilonian Scout Pteruges
7144,Flawless Aquilonian Scout Sandals
7145,Flawless Aquilonian Infantry Helm
7146,Flawless Aquilonian Infantry Cuirass
7147,Flawless Aquilonian Infantry Bracers
7148,Flawless Aquilonian Infantry Pteruges
7149,Flawless Aquilonian Infantry Sandals
7150,Flawless Aquilonian Black Dragon Helm
7151,Flawless Aquilonian Black Dragon Cuirass
7152,Flawless Aquilonian Black Dragon Gauntlets
7153,Flawless Aquilonian Black Dragon Pteruges
7154,Flawless Aquilonian Black Dragon Sandals
7155,Aquilonian Scout Headgear (Epic)
7156,Aquilonian Scout Vest (Epic)
7157,Aquilonian Scout Wraps (Epic)
7158,Aquilonian Scout Pteruges (Epic)
7159,Aquilonian Scout Sandals (Epic)
7160,Aquilonian Infantry Helm (Epic)
7161,Aquilonian Infantry Cuirass (Epic)
7162,Aquilonian Infantry Bracers (Epic)
7163,Aquilonian Infantry Pteruges (Epic)
7164,Aquilonian Infantry Sandals (Epic)
7165,Aquilonian Black Dragon Helm (Epic)
7166,Aquilonian Black Dragon Cuirass (Epic)
7167,Aquilonian Black Dragon Gauntlets (Epic)
7168,Aquilonian Black Dragon Pteruges (Epic)
7169,Aquilonian Black Dragon Sandals (Epic)
7170,Exceptional Aquilonian Scout Headgear (Epic)
7171,Exceptional Aquilonian Scout Vest (Epic)
7172,Exceptional Aquilonian Scout Wraps (Epic)
7173,Exceptional Aquilonian Scout Pteruges (Epic)
7174,Exceptional Aquilonian Scout Sandals (Epic)
7175,Exceptional Aquilonian Infantry Helm (Epic)
7176,Exceptional Aquilonian Infantry Cuirass (Epic)
7177,Exceptional Aquilonian Infantry Bracers (Epic)
7178,Exceptional Aquilonian Infantry Pteruges (Epic)
7179,Exceptional Aquilonian Infantry Sandals (Epic)
7180,Exceptional Aquilonian Black Dragon Helm (Epic)
7181,Exceptional Aquilonian Black Dragon Cuirass (Epic)
7182,Exceptional Aquilonian Black Dragon Gauntlets (Epic)
7183,Exceptional Aquilonian Black Dragon Pteruges (Epic)
7184,Exceptional Aquilonian Black Dragon Sandals (Epic)
7185,Flawless Aquilonian Scout Headgear (Epic)
7186,Flawless Aquilonian Scout Vest (Epic)
7187,Flawless Aquilonian Scout Wraps (Epic)
7188,Flawless Aquilonian Scout Pteruges (Epic)
7189,Flawless Aquilonian Scout Sandals (Epic)
7190,Flawless Aquilonian Infantry Helm (Epic)
7191,Flawless Aquilonian Infantry Cuirass (Epic)
7192,Flawless Aquilonian Infantry Bracers (Epic)
7193,Flawless Aquilonian Infantry Pteruges (Epic)
7194,Flawless Aquilonian Infantry Sandals (Epic)
7195,Flawless Aquilonian Black Dragon Helm (Epic)
7196,Flawless Aquilonian Black Dragon Cuirass (Epic)
7197,Flawless Aquilonian Black Dragon Gauntlets (Epic)
7198,Flawless Aquilonian Black Dragon Pteruges (Epic)
7199,Flawless Aquilonian Black Dragon Sandals (Epic)
7200,Aquilonian Longsword
7201,Aquilonian Greatsword
7202,Aquilonian Poniards
7203,Aquilonian Mace
7204,Aquilonian Warhammer
7205,Bossonian Bow
7206,Aquilonian Pike
7207,Aquilonian Shield
7212,Exceptional Aquilonian Longsword
7213,Exceptional Aquilonian Greatsword
7214,Exceptional Aquilonian Poniards
7215,Exceptional Aquilonian Mace
7216,Exceptional Aquilonian Warhammer
7217,Exceptional Bossonian Bow
7218,Exceptional Aquilonian Pike
7219,Exceptional Aquilonian Shield
7224,Flawless Aquilonian Longsword
7225,Flawless Aquilonian Greatsword
7226,Flawless Aquilonian Poniards
7227,Flawless Aquilonian Mace
7228,Flawless Aquilonian Warhammer
7229,Flawless Bossonian Bow
7230,Flawless Aquilonian Pike
7231,Flawless Aquilonian Shield
7236,Aquilonian Longsword (Epic)
7237,Aquilonian Greatsword (Epic)
7238,Aquilonian Poniards (Epic)
7239,Aquilonian Mace (Epic)
7240,Aquilonian Warhammer (Epic)
7241,Bossonian Bow (Epic)
7242,Aquilonian Pike (Epic)
7243,Aquilonian Shield (Epic)
7248,Exceptional Aquilonian Longsword (Epic)
7249,Exceptional Aquilonian Greatsword (Epic)
7250,Exceptional Aquilonian Poniards (Epic)
7251,Exceptional Aquilonian Mace (Epic)
7252,Exceptional Aquilonian Warhammer (Epic)
7253,Exceptional Bossonian Bow (Epic)
7254,Exceptional Aquilonian Pike (Epic)
7255,Exceptional Aquilonian Shield (Epic)
7260,Flawless Aquilonian Longsword (Epic)
7261,Flawless Aquilonian Greatsword (Epic)
7262,Flawless Aquilonian Poniards (Epic)
7263,Flawless Aquilonian Mace (Epic)
7264,Flawless Aquilonian Warhammer (Epic)
7265,Flawless Bossonian Bow (Epic)
7266,Flawless Aquilonian Pike (Epic)
7267,Flawless Aquilonian Shield (Epic)
7272,Aquilonian War-Axe
7273,Exceptional Aquilonian War-Axe
7274,Flawless Aquilonian War-Axe
7275,Aquilonian War-Axe (Epic)
7276,Exceptional Aquilonian War-Axe (Epic)
7277,Flawless Aquilonian War-Axe (Epic)
7299,Workshop Artisan Aquilonia
7300,Aquilonian T3 Foundation
7301,Aquilonian T3 Wall
7302,Aquilonian T3 Wall Sloped Left
7303,Aquilonian T3 Wall Sloped Right
7304,Aquilonian T3 TriangleWall Inv Left
7305,Aquilonian T3 TriangleWall Inv Right
7306,Aquilonian T3 Ceiling
7307,Aquilonian T3 DoorFrame
7308,Aquilonian T3 Stairs NoRail
7309,Aquilonian T3 Stairs Rail
7310,Aquilonian T3 Stairs Corner
7311,Aquilonian T3 ramp
7312,Aquilonian T3 ramp corner
7313,Aquilonian T3 Triangle
7314,Aquilonian T3 Triangle Foundation
7315,Aquilonian T3 WallWindow
7316,Aquilonian T3 Door
7317,Aquilonian T3 Pillar
7318,Aquilonian T3 Fence
7319,Aquilonian T3 Fence Foundation
7320,Aquilonian T3 Sloped Roof
7321,Aquilonian T3 Triangle Sloped Roof Up
7322,Aquilonian T3 Triangle Sloped Roof Down
7323,Aquilonian T3 Sloped Roof Corner
7324,Aquilonian T3 Sloped Roof Corner Inverted
7325,Aquilonian T3 Rooftop End
7326,Aquilonian T3 Rooftop Straight
7327,Aquilonian T3 Rooftop Corner
7328,Aquilonian T3 Rooftop T
7329,Aquilonian T3 Rooftop X
7330,Aquilonian T3 Rooftop Pyramid
7331,Aquilonian T3 roofplug
7332,Aquilonian T3 Crenelated Wall
7333,Aquilonian T3 Gate Frame
7334,Aquilonian T3 Gate Door
7335,Aquilonian T3 Hatch
7336,Aquilonian T3 Hatchdoor
7337,Aquilonian T3 Awning
7338,Aquilonian T3 Awning Inverted
7350,Aquilonian Placeable1
7351,Aquilonian Placeable2
7352,Aquilonian Placeable3
7353,Aquilonian Placeable4
7354,Aquilonian Placeable5
7355,Aquilonian Placeable6
7356,Aquilonian Placeable7
7357,Aquilonian Placeable8
7358,Aquilonian Placeable9
7359,Aquilonian Placeable10
7360,Aquilonian Placeable11
7361,Aquilonian Placeable12
7362,Aquilonian Placeable13
7363,Aquilonian Placeable14
7364,Aquilonian Placeable15
7365,Aquilonian Placeable16
7366,Aquilonian Placeable17
7367,Aquilonian Placeable18
7368,Aquilonian Placeable19
7369,Aquilonian Placeable20
7370,Aquilonian Placeable21
7371,Aquilonian Placeable22
7372,Aquilonian Placeable23
7373,Aquilonian Placeable24
