RowName,Name
2500,Poitain Footman Helm
2501,Poitain Footman Chestplate
2502,Poitain Footman Bracers
2503,Poitain Footman Tasset
2504,Poitain Footman Boots
2505,Poitain Campaign Helm
2506,Poitain Campaign Chestplate
2507,Poitain Campaign Gauntlets
2508,Poitain Campaign Greaves
2509,Poitain Campaign Boots
2510,Poitain Cavalier Helm
2511,Poitain Cavalier Chestplate
2512,Poitain Cavalier Gauntlets
2513,Poitain Cavalier Greaves
2514,Poitain Cavalier Boots
2515,Exceptional Poitain Footman Helm
2516,Exceptional Poitain Footman Chestplate
2517,Exceptional Poitain Footman Bracers
2518,Exceptional Poitain Footman Tasset
2519,Exceptional Poitain Footman Boots
2520,Exceptional Poitain Campaign Helm
2521,Exceptional Poitain Campaign Chestplate
2522,Exceptional Poitain Campaign Gauntlets
2523,Exceptional Poitain Campaign Greaves
2524,Exceptional Poitain Campaign Boots
2525,Exceptional Poitain Cavalier Helm
2526,Exceptional Poitain Cavalier Chestplate
2527,Exceptional Poitain Cavalier Gauntlets
2528,Exceptional Poitain Cavalier Greaves
2529,Exceptional Poitain Cavalier Boots
2530,Flawless Poitain Footman Helm
2531,Flawless Poitain Footman Chestplate
2532,Flawless Poitain Footman Bracers
2533,Flawless Poitain Footman Tasset
2534,Flawless Poitain Footman Boots
2535,Flawless Poitain Campaign Helm
2536,Flawless Poitain Campaign Chestplate
2537,Flawless Poitain Campaign Gauntlets
2538,Flawless Poitain Campaign Greaves
2539,Flawless Poitain Campaign Boots
2540,Flawless Poitain Cavalier Helm
2541,Flawless Poitain Cavalier Chestplate
2542,Flawless Poitain Cavalier Gauntlets
2543,Flawless Poitain Cavalier Greaves
2544,Flawless Poitain Cavalier Boots
2545,Poitain Footman Helm (Epic)
2546,Poitain Footman Chestplate (Epic)
2547,Poitain Footman Bracers (Epic)
2548,Poitain Footman Tasset (Epic)
2549,Poitain Footman Boots (Epic)
2550,Poitain Campaign Helm (Epic)
2551,Poitain Campaign Chestplate (Epic)
2552,Poitain Campaign Gauntlets (Epic)
2553,Poitain Campaign Greaves (Epic)
2554,Poitain Campaign Boots (Epic)
2555,Poitain Cavalier Helm (Epic)
2556,Poitain Cavalier Chestplate (Epic)
2557,Poitain Cavalier Gauntlets (Epic)
2558,Poitain Cavalier Greaves (Epic)
2559,Poitain Cavalier Boots (Epic)
2560,Exceptional Poitain Footman Helm (Epic)
2561,Exceptional Poitain Footman Chestplate (Epic)
2562,Exceptional Poitain Footman Bracers (Epic)
2563,Exceptional Poitain Footman Tasset (Epic)
2564,Exceptional Poitain Footman Boots (Epic)
2565,Exceptional Poitain Campaign Helm (Epic)
2566,Exceptional Poitain Campaign Chestplate (Epic)
2567,Exceptional Poitain Campaign Gauntlets (Epic)
2568,Exceptional Poitain Campaign Greaves (Epic)
2569,Exceptional Poitain Campaign Boots (Epic)
2570,Exceptional Poitain Cavalier Helm (Epic)
2571,Exceptional Poitain Cavalier Chestplate (Epic)
2572,Exceptional Poitain Cavalier Gauntlets (Epic)
2573,Exceptional Poitain Cavalier Greaves (Epic)
2574,Exceptional Poitain Cavalier Boots (Epic)
2575,Flawless Poitain Footman Helm (Epic)
2576,Flawless Poitain Footman Chestplate (Epic)
2577,Flawless Poitain Footman Bracers (Epic)
2578,Flawless Poitain Footman Tasset (Epic)
2579,Flawless Poitain Footman Boots (Epic)
2580,Flawless Poitain Campaign Helm (Epic)
2581,Flawless Poitain Campaign Chestplate (Epic)
2582,Flawless Poitain Campaign Gauntlets (Epic)
2583,Flawless Poitain Campaign Greaves (Epic)
2584,Flawless Poitain Campaign Boots (Epic)
2585,Flawless Poitain Cavalier Helm (Epic)
2586,Flawless Poitain Cavalier Chestplate (Epic)
2587,Flawless Poitain Cavalier Gauntlets (Epic)
2588,Flawless Poitain Cavalier Greaves (Epic)
2589,Flawless Poitain Cavalier Boots (Epic)
2590,Poitain Sword
2591,Poitain Greatsword
2592,Poitain Mace
2593,Poitain Warhammer
2594,Poitain Bow
2595,Poitain Pike
2596,Poitain Great Axe
2597,Poitain Katana
2598,Poitain War-Axe
2599,Exceptional Poitain Sword
2600,Exceptional Poitain Greatsword
2601,Exceptional Poitain Mace
2602,Exceptional Poitain Warhammer
2603,Exceptional Poitain Bow
2604,Exceptional Poitain Pike
2605,Exceptional Poitain Great Axe
2606,Exceptional Poitain Katana
2607,Exceptional Poitain War-Axe
2608,Flawless Poitain Sword
2609,Flawless Poitain Greatsword
2610,Flawless Poitain Mace
2611,Flawless Poitain Warhammer
2612,Flawless Poitain Bow
2613,Flawless Poitain Pike
2614,Flawless Poitain Great Axe
2615,Flawless Poitain Katana
2616,Flawless Poitain War-Axe
2617,Poitain Sword (Epic)
2618,Poitain Greatsword (Epic)
2619,Poitain Mace (Epic)
2620,Poitain Warhammer (Epic)
2621,Poitain Bow (Epic)
2622,Poitain Pike (Epic)
2623,Poitain Great Axe (Epic)
2624,Poitain Katana (Epic)
2625,Poitain War-Axe (Epic)
2626,Exceptional Poitain Sword (Epic)
2627,Exceptional Poitain Greatsword (Epic)
2628,Exceptional Poitain Mace (Epic)
2629,Exceptional Poitain Warhammer (Epic)
2630,Exceptional Poitain Bow (Epic)
2631,Exceptional Poitain Pike (Epic)
2632,Exceptional Poitain Great Axe (Epic)
2633,Exceptional Poitain Katana (Epic)
2634,Exceptional Poitain War-Axe (Epic)
2635,Flawless Poitain Sword (Epic)
2636,Flawless Poitain Greatsword (Epic)
2637,Flawless Poitain Mace (Epic)
2638,Flawless Poitain Warhammer (Epic)
2639,Flawless Poitain Bow (Epic)
2640,Flawless Poitain Pike (Epic)
2641,Flawless Poitain Great Axe (Epic)
2642,Flawless Poitain Katana (Epic)
2643,Flawless Poitain War-Axe (Epic)
2770,Poitain Light Lance
2771,Exceptional Poitain Light Lance
2772,Flawless Poitain Light Lance
2773,Poitain Heavy Lance
2774,Exceptional Poitain Heavy Lance
2775,Flawless Poitain Heavy Lance
2776,Poitain Light Lance (Epic)
2777,Exceptional Poitain Light Lance (Epic)
2778,Flawless Poitain Light Lance (Epic)
2779,Poitain Heavy Lance (Epic)
2780,Exceptional Poitain Heavy Lance (Epic)
2781,Flawless Poitain Heavy Lance (Epic)
2782,Lance
2783,Exceptional Lance
2784,Flawless Lance
2785,Strong Lance
2786,Exceptional Strong Lance
2787,Flawless Strong Lance
