RowName,Name
3100,Warpaint - Blossom
3101,Warpaint - Tiger
3102,Warpaint - Moon
3103,Warpaint - Crane
3104,Warpaint - Dragon
3110,Yamatai Footsoldier Hat
3111,Yamatai Footsoldier Chestpiece
3112,Yamatai Footsoldier Gloves
3113,Yamatai Footsoldier Leggings
3114,Yamatai Footsoldier Sabatons
3115,Yamatai Demon Mask
3116,Yamatai Demon Chestpiece
3117,Yamatai Demon Gloves
3118,Yamatai Demon Leggings
3119,Yamatai Demon Sabatons
3120,Yamatai Warlord Helmet
3121,Yamatai Warlord Chestpiece
3122,Yamatai Warlord Gloves
3123,Yamatai Warlord Leggings
3124,Yamatai Warlord Sabatons
3125,Exceptional Yamatai Footsoldier Hat
3126,Exceptional Yamatai Footsoldier Chestpiece
3127,Exceptional Yamatai Footsoldier Gloves
3128,Exceptional Yamatai Footsoldier Leggings
3129,Exceptional Yamatai Footsoldier Sabatons
3130,Exceptional Yamatai Demon Mask
3131,Exceptional Yamatai Demon Chestpiece
3132,Exceptional Yamatai Demon Gloves
3133,Exceptional Yamatai Demon Leggings
3134,Exceptional Yamatai Demon Sabatons
3135,Exceptional Yamatai Warlord Helmet
3136,Exceptional Yamatai Warlord Chestpiece
3137,Exceptional Yamatai Warlord Gloves
3138,Exceptional Yamatai Warlord Leggings
3139,Exceptional Yamatai Warlord Sabatons
3140,Flawless Yamatai Footsoldier Hat
3141,Flawless Yamatai Footsoldier Chestpiece
3142,Flawless Yamatai Footsoldier Gloves
3143,Flawless Yamatai Footsoldier Leggings
3144,Flawless Yamatai Footsoldier Sabatons
3145,Flawless Yamatai Demon Mask
3146,Flawless Yamatai Demon Chestpiece
3147,Flawless Yamatai Demon Gloves
3148,Flawless Yamatai Demon Leggings
3149,Flawless Yamatai Demon Sabatons
3150,Flawless Yamatai Warlord Helmet
3151,Flawless Yamatai Warlord Chestpiece
3152,Flawless Yamatai Warlord Gloves
3153,Flawless Yamatai Warlord Leggings
3154,Flawless Yamatai Warlord Sabatons
3155,Yamatai Footsoldier Hat (Epic)
3156,Yamatai Footsoldier Chestpiece (Epic)
3157,Yamatai Footsoldier Gloves (Epic)
3158,Yamatai Footsoldier Leggings (Epic)
3159,Yamatai Footsoldier Sabatons (Epic)
3160,Yamatai Demon Mask (Epic)
