RowName,Name
8100,Warpaint - Dreams of the East
8101,Warpaint - The Silken Path
8102,Warpaint - Scent of the Lotus
8103,Warpaint - The Purple Towers
8104,Warpaint - Godslayer's Tears
8110,Khitan Mercenary Headband
8111,Khitan Mercenary Cuirass
8112,Khitan Mercenary Bracers
8113,Khitan Mercenary Tasset
8114,Khitan Mercenary Footgear
8115,Khitan Captain Helm
8116,Khitan Captain Dingjia
8117,Khitan Captain Bracers
8118,Khitan Captain Tasset
8119,Khitan Captain Boots
8120,Khitan Imperial Helm
8121,Khitan Imperial Breastplate
8122,Khitan Imperial Bracers
8123,Khitan Imperial Tasset
8124,Khitan Imperial Boots
8125,Exceptional Khitan Mercenary Headband
8126,Exceptional Khitan Mercenary Cuirass
8127,Exceptional Khitan Mercenary Bracers
8128,Exceptional Khitan Mercenary Tasset
8129,Exceptional Khitan Mercenary Footgear
8130,Exceptional Khitan Captain Helm
8131,Exceptional Khitan Captain Dingjia
8132,Exceptional Khitan Captain Bracers
8133,Exceptional Khitan Captain Tasset
8134,Exceptional Khitan Captain Boots
8135,Exceptional Khitan Imperial Helm
8136,Exceptional Khitan Imperial Breastplate
8137,Exceptional Khitan Imperial Bracers
8138,Exceptional Khitan Imperial Tasset
8139,Exceptional Khitan Imperial Boots
8140,Flawless Khitan Mercenary Headband
8141,Flawless Khitan Mercenary Cuirass
8142,Flawless Khitan Mercenary Bracers
8143,Flawless Khitan Mercenary Tasset
8144,Flawless Khitan Mercenary Footgear
8145,Flawless Khitan Captain Helm
8146,Flawless Khitan Captain Dingjia
8147,Flawless Khitan Captain Bracers
8148,Flawless Khitan Captain Tasset
8149,Flawless Khitan Captain Boots
8150,Flawless Khitan Imperial Helm
8151,Flawless Khitan Imperial Breastplate
8152,Flawless Khitan Imperial Bracers
8153,Flawless Khitan Imperial Tasset
8154,Flawless Khitan Imperial Boots
8155,Khitan Mercenary Headband (Epic)
8156,Khitan Mercenary Cuirass (Epic)
8157,Khitan Mercenary Bracers (Epic)
8158,Khitan Mercenary Tasset (Epic)
8159,Khitan Mercenary Footgear (Epic)
8160,Khitan Captain Helm (Epic)
8161,Khitan Officer Dingjia (Epic)
8162,Khitan Captain Bracers (Epic)
8163,Khitan Captain Tasset (Epic)
8164,Khitan Captain Boots (Epic)
8165,Khitan Imperial Helm (Epic)
8166,Khitan Imperial Breastplate (Epic)
8167,Khitan Imperial Bracers (Epic)
8168,Khitan Imperial Tasset (Epic)
8169,Khitan Imperial Boots (Epic)
8170,Exceptional Khitan Mercenary Headband
8171,Exceptional Khitan Mercenary Cuirass
8172,Exceptional Khitan Mercenary Bracers
8173,Exceptional Khitan Mercenary Tasset
8174,Exceptional Khitan Mercenary Footgear
8175,Exceptional Khitan Captain Helm
8176,Exceptional Khitan Captain Dingjia
8177,Exceptional Khitan Captain Bracers
8178,Exceptional Khitan Captain Tasset
8179,Exceptional Khitan Captain Boots
8180,Exceptional Khitan Imperial Helm
8181,Exceptional Khitan Imperial Breastplate
8182,Exceptional Khitan Imperial Bracers
8183,Exceptional Khitan Imperial Tasset
8184,Exceptional Khitan Imperial Boots
8185,Flawless Khitan Mercenary Headband
8186,Flawless Khitan Mercenary Cuirass
8187,Flawless Khitan Mercenary Bracers
8188,Flawless Khitan Mercenary Tasset
8189,Flawless Khitan Mercenary Footgear
8190,Flawless Khitan Captain Helm
8191,Flawless Khitan Captain Dingjia
8192,Flawless Khitan Captain Bracers
8193,Flawless Khitan Captain Tasset
8194,Flawless Khitan Captain Boots
