RowName,Name
8400,Reaver Helmet
8401,Ravager Helmet
8402,Steppes Helmet
8403,Kings Guard Helmet
8404,Setite Cult Helmet
8405,Exceptional Reaver Helmet
8406,Exceptional Ravager Helmet
8407,Exceptional Steppes Helmet
8408,Exceptional Kings Guard Helmet
8409,Exceptional Setite Cult Helmet
8410,Flawless Reaver Helmet
8411,Flawless Ravager Helmet
8412,Flawless Steppes Helmet
8413,Flawless Kings Guard Helmet
8414,Flawless Setite Cult Helmet
8414,Setite Cult Helmet
8415,Reaver Helmet (Epic)
8416,Ravager Helmet (Epic)
8417,Steppes Helmet (Epic)
8418,Kings Guard Helmet (Epic)
8419,Setite Cult Helmet (Epic)
8420,Exceptional Reaver Helmet (Epic)
8421,Exceptional Ravager Helmet (Epic)
8422,Exceptional Steppes Helmet (Epic)
8423,Exceptional Kings Guard Helmet (Epic)
8424,Exceptional Setite Cult Helmet (Epic)
8425,Flawless Reaver Helmet (Epic)
8426,Flawless Ravager Helmet (Epic)
8427,Flawless Steppes Helmet (Epic)
8428,Flawless Kings Guard Helmet (Epic)
8429,Flawless Setite Cult Helmet (Epic)
8430,Warpaint - Neca Pure
8431,Warpaint - Neca Warpath
8432,Warpaint - Neca Vengeance
8434,Atlantean Throne
8435,Lion Throne
8436,Setite Cult Statue (Variant A)
8437,Setite Cult Statue (Variant B)
8438,Pool of Refreshment
8439,Statue of Conan (Variant A)
8440,Statue of Conan (Variant B)
8441,Statue of Conan (Variant C)
8442,Statue of Valeria (Variant A)
8443,Statue of Subotai (Variant A)
8444,Statue of Conan (Variant D)
8445,Statue of Conan (Variant E)
8446,Statue of Conan (Variant F)
8447,Statue of Valeria (Variant B)
8448,Statue of Subotai (Variant B)
8449,Statue of Conan (Variant G)
8450,Statue of Conan (Variant H)
8451,Statue of Conan (Variant I)
8452,Statue of Valeria (Variant C)
8453,Statue of Subotai (Variant C)
8487,Figurine of Conan (Variant A)
8488,Figurine of Conan (Variant B)
8489,Figurine of Conan (Variant C)
8490,Figurine of Valeria (Variant A)
8491,Figurine of Subotai (Variant A)
8492,Figurine of Conan (Variant D)
8493,Figurine of Conan (Variant E)
8494,Figurine of Conan (Variant F)
8495,Figurine of Valeria (Variant B)
8496,Figurine of Subotai (Variant B)
8497,Figurine of Conan (Variant G)
8498,Figurine of Conan (Variant H)
8499,Figurine of Conan (Variant I)
8500,Figurine of Valeria (Variant C)
8501,Figurine of Subotai (Variant C)
