RowName,Name
6100,Warpaint - Snake
6101,Warpaint - Otter
6102,Warpaint - Turtle
6103,Warpaint - Crocodile
6104,Warpaint - Raven
6110,Pictish Wizard Mask
6111,Pictish Wizard Robe
6112,Pictish Wizard Wraps
6113,Pictish Wizard Skirt
6114,Pictish Wizard Moccasins
6115,Pictish Brave Headgear
6116,Pictish Brave Tunic
6117,Pictish Brave Wristwraps
6118,Pictish Brave Breechclout
6119,Pictish Brave Moccasins
6120,Pictish Warchief Headdress
6121,Pictish Warchief Chestpiece
6122,Pictish Warchief Gauntlets
6123,Pictish Warchief Leggings
6124,Pictish Warchief Boots
6125,Exceptional Pictish Wizard Mask
6126,Exceptional Pictish Wizard Robe
6127,Exceptional Pictish Wizard Wraps
6128,Exceptional Pictish Wizard Skirt
6129,Exceptional Pictish Wizard Moccasins
6130,Exceptional Pictish Brave Headgear
6131,Exceptional Pictish Brave Tunic
6132,Exceptional Pictish Brave Wristwraps
6133,Exceptional Pictish Brave Breechclout
6134,Exceptional Pictish Brave Moccasins
6135,Exceptional Pictish Warchief Headdress
6136,Exceptional Pictish Warchief Chestpiece
6137,Exceptional Pictish Warchief Gauntlets
6138,Exceptional Pictish Warchief Leggings
6139,Exceptional Pictish Warchief Boots
6140,Flawless Pictish Wizard Mask
6141,Flawless Pictish Wizard Robe
6142,Flawless Pictish Wizard Wraps
6143,Flawless Pictish Wizard Skirt
6144,Flawless Pictish Wizard Moccasins
6145,Flawless Pictish Brave Headgear
6146,Flawless Pictish Brave Tunic
6147,Flawless Pictish Brave Wristwraps
6148,Flawless Pictish Brave Breechclout
6149,Flawless Pictish Brave Moccasins
6150,Flawless Pictish Warchief Headdress
6151,Flawless Pictish Warchief Chestpiece
6152,Flawless Pictish Warchief Gauntlets
6153,Flawless Pictish Warchief Leggings
6154,Flawless Pictish Warchief Boots
6155,Pictish Wizard Mask (Epic)
6156,Pictish Wizard Robe (Epic)
6157,Pictish Wizard Wraps (Epic)
6158,Pictish Wizard Skirt (Epic)
6159,Pictish Wizard Moccasins (Epic)
6160,Pictish Brave Headgear (Epic)
6161,Pictish Brave Tunic (Epic)
6162,Pictish Brave Wristwraps (Epic)
6163,Pictish Brave Breechclout (Epic)
6164,Pictish Brave Moccasins (Epic)
6165,Pictish Warchief Headdress (Epic)
6166,Pictish Warchief Chestpiece (Epic)
6167,Pictish Warchief Gauntlets (Epic)
6168,Pictish Warchief Leggings (Epic)
6169,Pictish Warchief Boots (Epic)
6170,Exceptional Pictish Wizard Mask (Epic)
