RowName,Name
5100,Warpaint - Dreams of Shanpur
5101,Warpaint - Wanderer
5102,Warpaint - Opulence
5103,Warpaint - Glory
5104,Warpaint - Virtue
5110,Turanian Scout Helmet
5111,Turanian Scout Chestpiece
5112,Turanian Scout Gloves
5113,Turanian Scout Leggings
5114,Turanian Scout Boots
5115,Turanian Mercenary Headgear
5116,Turanian Mercenary Chestguard
5117,Turanian Mercenary Gauntlets
5118,Turanian Mercenary Leg-guards
5119,Turanian Mercenary Boots
5120,Turanian Phalanx Helm
5121,Turanian Phalanx Chestguard
5122,Turanian Phalanx Gauntlets
5123,Turanian Phalanx Leg-guards
5124,Turanian Phalanx Boots
5125,Exceptional Turanian Scout Helmet
5126,Exceptional Turanian Scout Chestpiece
5127,Exceptional Turanian Scout Gloves
5128,Exceptional Turanian Scout Leggings
5129,Exceptional Turanian Scout Boots
5130,Exceptional Turanian Mercenary Headgear
5131,Exceptional Turanian Mercenary Chestguard
5132,Exceptional Turanian Mercenary Gauntlets
5133,Exceptional Turanian Mercenary Leg-guards
5134,Exceptional Turanian Mercenary Boots
5135,Exceptional Turanian Phalanx Helm
5136,Exceptional Turanian Phalanx Chestguard
5137,Exceptional Turanian Phalanx Gauntlets
5138,Exceptional Turanian Phalanx Leg-guards
5139,Exceptional Turanian Phalanx Boots
5140,Flawless Turanian Scout Helmet
5141,Flawless Turanian Scout Chestpiece
5142,Flawless Turanian Scout Gloves
5143,Flawless Turanian Scout Leggings
5144,Flawless Turanian Scout Boots
5145,Flawless Turanian Mercenary Headgear
5146,Flawless Turanian Mercenary Chestguard
5147,Flawless Turanian Mercenary Gauntlets
5148,Flawless Turanian Mercenary Leg-guards
5149,Flawless Turanian Mercenary Boots
5150,Flawless Turanian Phalanx Helm
5151,Flawless Turanian Phalanx Chestguard
5152,Flawless Turanian Phalanx Gauntlets
5153,Flawless Turanian Phalanx Leg-guards
5154,Flawless Turanian Phalanx Boots
5155,Turanian Scout Helmet (Epic)
5156,Turanian Scout Chestpiece (Epic)
5157,Turanian Scout Gloves (Epic)
5158,Turanian Scout Leggings (Epic)
5159,Turanian Scout Boots (Epic)
5160,Turanian Mercenary Headgear (Epic)
5161,Turanian Mercenary Chestguard (Epic)
5162,Turanian Mercenary Gauntlets (Epic)
5163,Turanian Mercenary Leg-guards (Epic)
5164,Turanian Mercenary Boots (Epic)
5165,Turanian Phalanx Helm (Epic)
5166,Turanian Phalanx Chestguard (Epic)
5167,Turanian Phalanx Gauntlets (Epic)
5168,Turanian Phalanx Leg-guards (Epic)
5169,Turanian Phalanx Boots (Epic)
5170,Exceptional Turanian Scout Helmet (Epic)
5171,Exceptional Turanian Scout Chestpiece (Epic)
5172,Exceptional Turanian Scout Gloves (Epic)
5173,Exceptional Turanian Scout Leggings (Epic)
5174,Exceptional Turanian Scout Boots (Epic)
5175,Exceptional Turanian Mercenary Headgear (Epic)
5176,Exceptional Turanian Mercenary Chestguard (Epic)
5177,Exceptional Turanian Mercenary Gauntlets (Epic)
5178,Exceptional Turanian Mercenary Leg-guards (Epic)
5179,Exceptional Turanian Mercenary Boots (Epic)
5180,Exceptional Turanian Phalanx Helm (Epic)
5181,Exceptional Turanian Phalanx Chestguard (Epic)
5182,Exceptional Turanian Phalanx Gauntlets (Epic)
5183,Exceptional Turanian Phalanx Leg-guards (Epic)
5184,Exceptional Turanian Phalanx Boots (Epic)
5185,Flawless Turanian Scout Helmet (Epic)
5186,Flawless Turanian Scout Chestpiece (Epic)
5187,Flawless Turanian Scout Gloves (Epic)
5188,Flawless Turanian Scout Leggings (Epic)
5189,Flawless Turanian Scout Boots (Epic)
5190,Flawless Turanian Mercenary Headgear (Epic)
5191,Flawless Turanian Mercenary Chestguard (Epic)
5192,Flawless Turanian Mercenary Gauntlets (Epic)
5193,Flawless Turanian Mercenary Leg-guards (Epic)
